#separator: tab
#html:true
ウェイ	way
つもり	intention; plan, conviction; belief
飲む | の	to drink; to gulp; to swallow; to take (medicine), to smoke (tobacco)
酒 | さけ	alcohol; sake
発売 | はつばい	sale; offering for sale; release (for sale); launch (product)
優しい | やさ	tender; kind; gentle; graceful; affectionate; amiable
聞く | き	to hear, to listen (e.g. to music)
光 | ひかり	light
協力 | きょうりょく	cooperation; collaboration
馬 | うま	horse, horse racing
機械 | きかい	machine; mechanism, instrument; appliance; apparatus
本当 | ほんとう	truth; reality; actuality; fact, proper; right; correct; official
ある	to be (usu. of inanimate objects); to exist; to live, to have
帰り | かえ	return; coming back
後 | あと	behind; rear, after; later
牛 | うし	cattle (Bos taurus); cow; bull; ox; calf, beef
守る | まも	to protect; to guard; to defend, to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow
残る | のこ	to remain; to be left
再び | ふたた	again; once more; a second time
私 | わたし	I; me, private affairs; personal matter; secrecy
終わる | お	to finish; to end; to close
上り | のぼ	ascent; climbing; ascending (path); climb, up-train (e.g. going to Tokyo)
道 | みち	road; street; way; path; course; route; lane, distance; ways (e.g. "a long ways")
足 | あし	foot, leg
日本 | にほん	Japan
出会う | であ	to meet (by chance); to come across; to run across; to encounter; to happen upon, to meet (e.g. of rivers, highways, etc.)
船 | ふね	ship; boat; watercraft; vessel; steamship, tank; tub; vat; trough
あげる	to raise; to elevate, to do up (one's hair)
合わせる | あ	to match (rhythm, speed, etc.), to join together; to unite; to combine; to add up
上がる | あ	to rise; to go up; to come up; to ascend; to be raised, to enter (esp. from outdoors); to come in; to go in
一 | いち	one, best
良い | よ	good; excellent; fine; nice; pleasant; agreeable, sufficient (can be used to turn down an offer); ready; prepared
水道 | すいどう	water service; water supply
制度 | せいど	system; institution; organization; organisation
会員 | かいいん	member; the membership
放送 | ほうそう	broadcast; broadcasting
効果 | こうか	effect; effectiveness; efficacy; result, effects (e.g. sound effects, visual effects, special effects)
青年 | せいねん	youth; young man
教師 | きょうし	teacher (classroom)
開発 | かいはつ	development; exploitation
工業 | こうぎょう	(manufacturing) industry
生じる | しょう	to produce; to yield; to cause, to result from; to arise; to be generated
両方 | りょうほう	both; both sides; both parties
太陽 | たいよう	sun; solar
入る | はい	to enter; to go into, to break into
工事 | こうじ	construction work; construction; work (related to construction, e.g. painting, concrete-pouring, etc.)
最高 | さいこう	highest; supreme; the most
趣味 | しゅみ	hobby; pastime, tastes; preference; liking
要求 | ようきゅう	demand; firm request; requisition; requirement; desire
解決 | かいけつ	settlement; solution; resolution
学年 | がくねん	academic year; school year, year in school; grade in school
個人 | こじん	individual; private person; personal; private
名人 | めいじん	master; expert
増加 | ぞうか	increase; increment; addition
準備 | じゅんび	preparation; setup; arrangements; provision; reserve
政府 | せいふ	government; administration
示す | しめ	to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent, to point out (finger, clock hand, needle, etc.)
南北 | なんぼく	north and south; north to south, South Korea and North Korea
散歩 | さんぽ	walk; stroll
変更 | へんこう	change; modification; alteration; revision; amendment
経営 | けいえい	management; administration; operation; running (business); conducting
成長 | せいちょう	growth; grow to adulthood
別に | べつ	(not) particularly; nothing, separately; apart
手術 | しゅじゅつ	(surgical) operation; procedure
理解 | りかい	understanding; comprehension; appreciation; sympathy
関連 | かんれん	relation; connection; relevance
熱い | あつ	hot (thing), passionate (feelings, etc.); ardent; hot (e.g. gaze)
完成 | かんせい	complete; completion, perfection; accomplishment
未来 | みらい	the future (usually distant), future tense
事情 | じじょう	circumstances; consideration; conditions; situation; reasons; state of affairs
処理 | しょり	processing; dealing with; treatment; disposition; disposal
基本 | きほん	foundation; basis; standard
夫婦 | ふうふ	married couple; spouses; husband and wife; couple; pair, his and hers; pair of objects, one larger (for man), one smaller (for woman)
住宅 | じゅうたく	residence; housing; residential building
熱 | ねつ	heat, fever; temperature
舞台 | ぶたい	stage (theatre, theater), scene or setting (e.g. of novel, play, etc.)
出口 | でぐち	exit; gateway; way out; outlet; leak; vent
販売 | はんばい	sales; selling; marketing
完全 | かんぜん	perfection; completeness
多い | おお	many; numerous
結果 | けっか	result; consequence; outcome; effect, coming to fruition; bearing fruit
中学校 | ちゅうがっこう	junior high school; middle school; lower secondary school
荷物 | にもつ	luggage; baggage; package, burden
意識 | いしき	consciousness, awareness; sense
東西 | とうざい	east and west, Orient and Occident; East and West
塩 | しお	salt (i.e. sodium chloride); common salt; table salt, salt (e.g. sodium chloride, calcium sulfate, etc.)
状態 | じょうたい	current status; condition; situation; circumstances; state
存在 | そんざい	existence; being
参考 | さんこう	reference; consultation
予約 | よやく	reservation; appointment; booking; advance order, contract; subscription; pledge
性格 | せいかく	character; personality; disposition; nature
管理 | かんり	control; management (e.g. of a business)
正しい | ただ	right; correct, proper; righteous; just; honest; truthful; lawful
旅館 | りょかん	ryokan; Japanese-style lodging, usu. professionally-run
健康 | けんこう	health; sound; wholesome
殺す | ころ	to kill
許す | ゆる	to permit; to allow; to approve; to tolerate, to exempt (from fine); to excuse (from); to pardon; to forgive; to release; to let off
担当 | たんとう	being in charge (of an area of responsibility); being responsible (for a work role, etc.)
大切 | たいせつ	important; necessary; indispensable, beloved; precious; dear; cherished; valuable
動き | うご	movement; move; motion, trend; development; change; fluctuation
後半 | こうはん	second half; latter half
企業 | きぎょう	enterprise; undertaking; corporation; business
図 | ず	drawing; picture; diagram; figure; illustration; chart; graph, sight; scene
影響 | えいきょう	influence; effect, to influence; to affect; to have an influence on; to impact; to have an effect on
学者 | がくしゃ	scholar
今週 | こんしゅう	this week
様子 | ようす	state; state of affairs; situation; circumstances, appearance; look; aspect
住民 | じゅうみん	citizens; inhabitants; residents; population
役割 | やくわり	part; assigning (allotment of) parts; role; duties
相当 | そうとう	befitting; becoming; worthy of; proportionate; in keeping with; suitable, considerable; substantial
成功 | せいこう	success; hit
池 | いけ	pond
現代 | げんだい	nowadays; modern era; modern times; present-day
絵 | え	picture; drawing; painting; sketch
現実 | げんじつ	reality; actuality; hard fact
季節 | きせつ	season
実験 | じっけん	experiment
精神 | せいしん	mind; soul; heart; spirit; intention
心配 | しんぱい	worry; concern; anxiety, care; help; aid; assistance
血 | ち	blood; consanguinity
下車 | げしゃ	alighting (from train, bus, etc.); getting off
流れ | なが	stream; current; flow, course of events
対象 | たいしょう	target; object (of worship, study, etc.); subject (of taxation, etc.)
職業 | しょくぎょう	occupation; business
得意 | とくい	triumph; prosperity, pride
壁 | かべ	wall; partition, barrier; obstacle
都合 | つごう	circumstances; condition; convenience, to arrange; to manage
現場 | げんば	actual spot; scene; scene of the crime; site; location; setting, shop floor; factory floor; (on) site
数学 | すうがく	mathematics; arithmetic
